37292 /  1-2 Switch /  $30.01 /  $30.31 /  $34.84 / 
63156 /  Kill La Kill-IF [Limited Edition] /   /   /   / 
66765 /  Killer Queen Black /   /   /   / 
50715 /  Kingdom New Lands /  $34.82 /  $40.00 /  $40.00 / 
50720 /  "Kingdom New Lands Collectors Edition" /  $60.10 /  $69.11 /  $73.57 / 
45187 /  Kirby Star Allies /  $36.65 /  $38.98 /  $44.99 / 
58610 /  Kotodama: 7 Mysteries of Fujisawa /  $17.48 /  $22.63 /  $26.00 / 
40493 /  L.A. Noire /  $10.85 /  $13.63 /  $13.99 / 
37375 /  LEGO City Undercover /  $15.92 /  $16.01 /  $21.02 / 
38054 /  LEGO City Undercover [Toy Bundle] /  $49.99 /  $49.99 /  $75.00 / 
52161 /  LEGO DC Super Villains /  $18.99 /  $19.57 /  $24.97 / 
52163 /  LEGO DC Super Villains [Deluxe Edition] /  $25.87 /  $28.37 /  $37.05 / 
52711 /  LEGO Harry Potter Collection /  $19.99 /  $21.18 /  $23.50 / 
65172 /  LEGO Jurassic World /  $23.66 /  $28.00 /  $29.50 / 
40488 /  LEGO Marvel Super Heroes 2 /  $15.60 /  $16.75 /  $22.71 / 
40485 /  LEGO Marvel Super Heroes 2 Deluxe Edition /  $30.03 /  $31.49 /  $58.52 / 
58141 /  LEGO Movie 2 Videogame /  $17.25 /  $18.99 /  $20.00 / 
39910 /  LEGO Ninjago Movie /  $15.14 /  $16.55 /  $20.97 / 
46987 /  LEGO The Incredibles /  $15.49 /  $15.56 /  $20.03 / 
39528 /  LEGO Worlds /  $14.99 /  $16.99 /  $19.27 / 
50217 /  Labyrinth of Refrain /  $25.60 /  $30.25 /  $37.46 / 
50218 /  Labyrinth of Refrain Limited Edition /  $90.29 /  $105.00 /  $125.00 / 
58592 /  Lapis x Labyrinth Limited Edition XL /  $43.51 /  $50.00 /  $61.72 / 
54355 /  Layers of Fear Legacy /  $56.75 /  $58.35 /  $80.00 / 
65569 /  "Laytons Mystery Journey: Katrielle and the Millionaires Consipiracy" /   /   /   / 
46974 /  Legend of Kay Anniversary /  $12.78 /  $13.01 /  $19.17 / 
