12164 //  Donkey Kong Classics //  $14.69 //  $33.55 //  $269.53 // 
11986 //  Donkey Kong Jr //  $17.98 //  $83.70 //  $212.22 // 
11987 //  Donkey Kong Jr Math //  $90.14 //  $1216.07 //  $1867.50 // 
37968 //  Donkey Kong Jr Math [5 Screw] //  $90.48 //  $1391.66 //  $1391.66 // 
37985 //  Donkey Kong Jr [5 Screw] //  $17.18 //  $163.02 //  $299.00 // 
37984 //  Donkey Kong [5 Screw] //  $29.91 //  $228.73 //  $319.97 // 
12167 //  Double Dare //  $11.55 //  $28.73 //  $99.00 // 
12207 //  Double Dragon //  $10.97 //  $40.25 //  $505.62 // 
12208 //  Double Dragon II //  $9.32 //  $38.09 //  $287.44 // 
12209 //  Double Dragon III //  $12.99 //  $47.50 //  $158.80 // 
11988 //  Double Dribble //  $4.66 //  $16.77 //  $68.61 // 
38023 //  Double Dribble [5 Screw] //  $8.32 //  $10.40 //  $33.28 // 
12210 //  Double Strike //  $15.30 //  $39.37 //  $54.27 // 
12211 //  Dr Chaos //  $10.07 //  $35.84 //  $56.97 // 
12212 //  Dr Jekyll and Mr Hyde //  $18.82 //  $50.00 //  $111.99 // 
8859 //  Dr. Mario //  $5.19 //  $17.99 //  $178.87 // 
8864 //  Dragon Fighter //  $290.00 //  $402.74 //  $653.75 // 
12213 //  Dragon Power //  $9.19 //  $32.50 //  $36.09 // 
12214 //  Dragon Spirit //  $10.25 //  $26.32 //  $88.72 // 
12216 //  Dragon Warrior //  $7.70 //  $42.99 //  $156.61 // 
12215 //  Dragon Warrior II //  $41.69 //  $65.38 //  $141.82 // 
8868 //  Dragon Warrior III //  $64.41 //  $144.65 //  $700.10 // 
8869 //  Dragon Warrior IV //  $88.95 //  $162.50 //  $923.70 // 
12217 //  "Dragons Lair the Legend" //  $18.00 //  $33.41 //  $109.00 // 
12218 //  Duck Hunt //  $8.98 //  $41.08 //  $66.87 // 
37976 //  Duck Hunt [5 Screw] //  $6.97 //  $49.95 //  $74.37 // 
12219 //  Duck Tales //  $16.67 //  $54.99 //  $265.94 // 
8878 //  Duck Tales 2 //  $161.78 //  $399.22 //  $1277.49 // 
34156 //  Duck Tales Gold Cartridge //  $1337.50 //  $1400.00 //  $1415.15 // 
12220 //  Dudes with Attitude //  $8.86 //  $27.23 //  $79.00 // 
12221 //  Dungeon Magic //  $7.79 //  $25.87 //  $85.00 // 
12222 //  "Dusty Diamonds All-Star Softball" //  $53.66 //  $127.90 //  $199.99 // 
8889 //  Dynowarz The Destruction of Spondylus //  $5.09 //  $20.39 //  $75.85 // 
11989 //  Elevator Action //  $9.99 //  $38.86 //  $282.18 // 
38017 //  Elevator Action [5 Screw] //  $10.69 //  $44.00 //  $113.56 // 
8906 //  Eliminator Boat Duel //  $23.55 //  $40.08 //  $129.65 // 
11990 //  Excitebike //  $8.43 //  $46.18 //  $299.99 // 
37977 //  Excitebike [5 Screw] //  $8.95 //  $39.11 //  $112.00 // 
12223 //  Exodus Journey to the Promised Land //  $11.47 //  $24.99 //  $85.49 // 
8928 //  F-117A Stealth Fighter //  $10.99 //  $27.20 //  $150.00 // 
19760 //  F-15 City War //  $7.90 //  $23.99 //  $44.99 // 
8929 //  F-15 Strike Eagle //  $8.99 //  $21.70 //  $217.77 // 
8935 //  Family Feud //  $11.00 //  $21.34 //  $35.55 // 
12224 //  Family Fun Fitness Stadium Events //  $11129.71 //  $29251.71 //  $55000.00 // 
12225 //  Fantastic Adventures of Dizzy //  $11.34 //  $25.49 //  $67.51 // 
39521 //  Fantastic Adventures of Dizzy [Aladdin] //  $0.99 //  $0.99 //  $14.00 // 
12226 //  Fantasy Zone //  $24.97 //  $35.22 //  $82.30 // 
8939 //  Faria //  $79.99 //  $142.87 //  $389.99 // 
13717 //  Faxanadu //  $9.27 //  $29.13 //  $167.30 // 
8948 //  Felix the Cat //  $67.81 //  $193.51 //  $522.00 // 
8949 //  Ferrari Grand Prix Challenge //  $8.99 //  $22.48 //  $25.00 // 
8950 //  "Festers Quest" //  $5.96 //  $20.66 //  $115.75 // 
8970 //  Final Fantasy //  $16.76 //  $78.73 //  $1225.00 // 
8975 //  "Fire N Ice" //  $140.00 //  $250.36 //  $510.32 // 
12229 //  Firehawk //  $10.99 //  $23.89 //  $33.55 // 
12230 //  Fisher Price I Can Remember //  $7.25 //  $23.04 //  $61.66 // 
12231 //  Fisher Price Perfect Fit //  $9.12 //  $19.47 //  $109.99 // 
8976 //  Fisher-Price Firehouse Rescue //  $17.99 //  $39.35 //  $142.23 // 
12232 //  Fist of the North Star //  $15.65 //  $57.05 //  $102.81 // 
8981 //  Flight of the Intruder //  $9.71 //  $18.99 //  $48.50 // 
13107 //  Flintstones Surprise at Dinosaur Peak //  $753.97 //  $2035.72 //  $6257.95 // 
8983 //  Flintstones The Rescue of Dino and Hoppy //  $19.07 //  $54.95 //  $324.99 // 
12234 //  Flying Dragon //  $7.33 //  $18.91 //  $68.99 // 
12235 //  Flying Warriors //  $13.99 //  $47.20 //  $100.00 // 
14550 //  Formula One Built To Win //  $20.48 //  $63.20 //  $153.47 // 
12236 //  Frankenstein the Monster Returns //  $64.86 //  $136.62 //  $189.00 // 
12237 //  Freedom Force //  $11.98 //  $28.99 //  $48.00 // 
12238 //  Friday the 13th //  $12.95 //  $55.00 //  $300.00 // 
12239 //  Fun House //  $10.93 //  $26.85 //  $69.99 // 
12240 //  G.I. Joe: A Real American Hero //  $56.25 //  $175.45 //  $559.82 // 
9034 //  GI Joe The Atlantis Factor //  $39.50 //  $84.99 //  $241.22 // 
32330 //  Galactic Crusader //  $35.84 //  $51.94 //  $102.48 // 
11991 //  Galaga: Demons of Death //  $12.72 //  $24.56 //  $95.94 // 
12242 //  Galaxy 5000 //  $20.24 //  $54.85 //  $173.12 // 
52012 //  Galf //  $74.10 //  $76.00 //  $336.70 // 
68608 //  Galf [Gold] //  $706.00 //  $1906.20 //  $5859.80 // 
52013 //  Galf [White] //  $71.00 //  $150.00 //  $174.26 // 
13192 //  Game Genie //  $16.49 //  $29.61 //  $49.99 // 
37040 //  Game Genie Top Loader Adaptor //  $253.58 //  $397.37 //  $1271.59 // 
9012 //  "Gargoyles Quest II The Demon Darkness" //  $70.00 //  $176.64 //  $429.25 // 
12243 //  Gauntlet //  $9.86 //  $22.23 //  $121.80 // 
9013 //  Gauntlet II //  $9.00 //  $26.09 //  $61.71 // 
39511 //  Gauntlet [Gray Cart] //  $8.34 //  $26.99 //  $69.64 // 
9018 //  Gemfire //  $93.85 //  $174.50 //  $469.99 // 
12244 //  Genghis Khan //  $16.68 //  $38.07 //  $113.20 // 
9025 //  "George Foremans KO Boxing" //  $6.50 //  $17.52 //  $50.00 // 
9029 //  Ghost Lion //  $57.75 //  $121.49 //  $249.00 // 
12245 //  Ghostbusters //  $11.12 //  $45.04 //  $123.46 // 
9032 //  Ghostbusters II //  $12.13 //  $42.12 //  $166.77 // 
11992 //  "Ghosts n Goblins" //  $13.37 //  $49.99 //  $700.00 // 
37998 //  "Ghosts n Goblins [5 Screw]" //  $15.05 //  $80.91 //  $143.50 // 
9033 //  Ghoul School //  $28.17 //  $61.33 //  $229.95 // 
12247 //  "Gilligans Island" //  $14.49 //  $36.94 //  $105.00 // 
12248 //  Goal //  $4.94 //  $8.42 //  $22.03 // 
9039 //  Goal Two //  $21.57 //  $42.14 //  $283.68 // 
12249 //  Godzilla //  $16.57 //  $46.04 //  $145.16 // 
9042 //  Godzilla 2 //  $94.55 //  $169.99 //  $900.00 // 
9045 //  "Gold Medal Challenge 92" //  $14.24 //  $30.84 //  $85.28 // 
9050 //  Golf //  $4.33 //  $17.78 //  $17.82 // 
9051 //  Golf Grand Slam //  $14.00 //  $29.99 //  $48.08 // 
37969 //  Golf [5 Screw] //  $6.56 //  $31.85 //  $58.10 // 
12250 //  Golgo 13 Top Secret Episode //  $6.37 //  $18.98 //  $71.87 // 
12251 //  Gotcha //  $5.29 //  $18.47 //  $64.63 // 
39516 //  Gotcha [5 Screw] //  $377.10 //  $978.10 //  $3129.93 // 
11993 //  Gradius //  $13.55 //  $41.72 //  $306.92 // 
37999 //  Gradius [5 Screw] //  $10.65 //  $64.99 //  $122.84 // 
9063 //  Great Waldo Search //  $16.00 //  $44.00 //  $70.51 // 
9068 //  "Greg Normans Golf Power" //  $12.33 //  $22.99 //  $64.49 // 
12252 //  Gremlins 2 //  $17.28 //  $41.74 //  $59.88 // 
12253 //  Guerrilla War //  $9.19 //  $27.26 //  $122.94 // 
12254 //  Gumshoe //  $9.00 //  $69.95 //  $695.99 // 
37990 //  Gumshoe [5 Screw] //  $10.74 //  $58.93 //  $100.90 // 
12255 //  Gun-Nac //  $214.10 //  $422.98 //  $669.10 // 
12256 //  Gun.Smoke //  $13.99 //  $52.53 //  $259.38 // 
68556 //  Gun.Smoke [Bar] //  $10.00 //  $84.00 //  $175.90 // 
12257 //  Gyromite //  $6.25 //  $51.23 //  $68.00 // 
37970 //  Gyromite [5 Screw] //  $7.33 //  $52.10 //  $77.29 // 
37958 //  Gyromite [ROB Bundle] //  $203.78 //  $398.29 //  $1691.38 // 
12258 //  Gyruss //  $8.41 //  $25.19 //  $120.00 // 
12259 //  Harlem Globetrotters //  $10.00 //  $23.55 //  $70.10 // 
9097 //  Hatris //  $20.01 //  $39.49 //  $126.37 // 
12260 //  Heavy Barrel //  $12.09 //  $37.50 //  $129.99 // 
12261 //  "Heavy Shreddin" //  $6.38 //  $17.99 //  $74.00 // 
9109 //  High Speed //  $9.38 //  $18.55 //  $45.39 // 
12262 //  "Hogans Alley" //  $6.55 //  $23.03 //  $176.25 // 
37971 //  "Hogans Alley [5 Screw]" //  $10.25 //  $42.68 //  $81.54 // 
9115 //  Hollywood Squares //  $6.14 //  $17.99 //  $33.11 // 
58103 //  Holy Diver [Collectors Edition] //  $20.77 //  $56.01 //  $89.95 // 
9117 //  Home Alone //  $11.24 //  $27.81 //  $81.00 // 
9119 //  Home Alone 2 Lost In New York //  $7.00 //  $21.99 //  $68.36 // 
9121 //  Hook //  $8.07 //  $21.99 //  $142.71 // 
12263 //  Hoops //  $3.45 //  $10.08 //  $41.19 // 
14931 //  Hot Slots //  $1187.91 //  $1187.95 //  $3000.00 // 
9132 //  Hudson Hawk //  $12.32 //  $29.99 //  $63.44 // 
9133 //  Hunt for Red October //  $5.75 //  $17.99 //  $50.08 // 
12264 //  Hydlide //  $5.97 //  $20.39 //  $61.22 // 
11994 //  Ice Climber //  $18.07 //  $143.90 //  $479.65 // 
37972 //  Ice Climber [5 Screw] //  $16.99 //  $176.27 //  $206.96 // 
11995 //  Ice Hockey //  $4.97 //  $17.77 //  $212.42 // 
12265 //  Ikari Warriors //  $7.25 //  $20.50 //  $69.93 // 
12266 //  Ikari Warriors II //  $8.12 //  $27.53 //  $123.39 // 
12267 //  Ikari Warriors III //  $22.00 //  $53.72 //  $214.49 // 
38008 //  Ikari Warriors [5 Screw] //  $7.92 //  $59.41 //  $98.03 // 
12268 //  Image Fight //  $13.09 //  $50.97 //  $71.54 // 
9138 //  Immortal //  $9.99 //  $35.37 //  $70.00 // 
12269 //  Impossible Mission II //  $15.99 //  $25.31 //  $47.00 // 
44966 //  Impossible Mission II [AVE] //  $17.88 //  $30.73 //  $84.02 // 
39510 //  Impossible Mission II [SEI] //  $29.95 //  $29.99 //  $165.92 // 
9143 //  Incredible Crash Dummies //  $14.33 //  $39.99 //  $111.82 // 
12270 //  Indiana Jones and the Last Crusade //  $30.13 //  $70.00 //  $226.95 // 
