2888 //  007 James Bond //  $7.06 //  $18.50 //  $148.50 // 
2903 //  Kwirk //  $7.77 //  $16.93 //  $42.93 // 
13427 //  Lamborghini American Challenge //  $14.99 //  $27.77 //  $125.24 // 
13428 //  Last Action Hero //  $10.85 //  $98.58 //  $101.48 // 
13429 //  "Lazlos Leap" //  $20.69 //  $81.30 //  $186.99 // 
21082 //  Legend of the River King //  $13.79 //  $37.85 //  $70.00 // 
34781 //  Lemmings //  $7.67 //  $19.86 //  $65.60 // 
13432 //  Lethal Weapon //  $10.53 //  $39.95 //  $140.00 // 
54001 //  Light Boy //  $2.28 //  $7.99 //  $18.38 // 
2911 //  Little Mermaid //  $6.79 //  $24.31 //  $79.68 // 
13435 //  Lock n Chase //  $6.86 //  $23.24 //  $53.47 // 
37413 //  Looney Tunes //  $6.34 //  $25.65 //  $80.00 // 
2919 //  Loopz //  $5.41 //  $19.94 //  $45.86 // 
13472 //  Lost World Jurassic Park //  $9.00 //  $45.00 //  $48.00 // 
13404 //  Madden 95 //  $3.96 //  $6.83 //  $33.00 // 
13405 //  Madden 96 //  $2.67 //  $10.43 //  $26.45 // 
13406 //  Madden 97 //  $3.24 //  $25.01 //  $57.53 // 
13443 //  Malibu Beach Volleyball //  $3.30 //  $11.90 //  $24.41 // 
35120 //  Marble Madness //  $5.13 //  $15.47 //  $50.00 // 
13444 //  "Marios Picross" //  $16.11 //  $27.68 //  $139.94 // 
13445 //  "Marus Mission" //  $15.29 //  $80.00 //  $128.32 // 
20387 //  Maui Mallard in Cold Shadow //  $19.99 //  $130.23 //  $358.25 // 
2931 //  Mega Man 2 //  $11.85 //  $64.06 //  $376.17 // 
66742 //  "Mega Man 2 [Players Choice]" //   //   //   // 
13452 //  Mega Man 3 //  $20.43 //  $178.83 //  $255.00 // 
13453 //  Mega Man 4 //  $46.00 //  $394.26 //  $800.00 // 
13451 //  Mega Man 5 //  $112.22 //  $934.75 //  $2150.36 // 
2932 //  Mega Man Dr Wily Revenge //  $10.20 //  $36.41 //  $135.13 // 
66738 //  "Mega Man Dr Wily Revenge [Players Choice]" //   //   //   // 
13455 //  Megalit //  $15.96 //  $80.43 //  $128.01 // 
13456 //  Mercenary Force //  $9.59 //  $27.47 //  $125.00 // 
13457 //  Metal Masters //  $31.97 //  $163.95 //  $377.06 // 
2938 //  Metroid 2 Return of Samus //  $17.98 //  $98.83 //  $270.94 // 
66743 //  "Metroid 2 Return of Samus [Players Choice]" //   //   //   // 
19898 //  Mickey Mouse Magic Wands //  $5.55 //  $21.37 //  $45.85 // 
2940 //  "Mickeys Dangerous Chase" //  $6.31 //  $15.79 //  $51.57 // 
66752 //  "Mickeys Dangerous Chase [Players Choice]" //   //   //   // 
13526 //  "Mickeys Ultimate Challenge" //  $6.49 //  $86.70 //  $89.99 // 
13184 //  Micro Machines //  $5.60 //  $21.82 //  $78.52 // 
2944 //  Mighty Morphin Power Rangers //  $9.98 //  $43.70 //  $96.77 // 
13531 //  "Milons Secret Castle" //  $9.38 //  $72.58 //  $166.83 // 
13532 //  Miner 2049er //  $12.43 //  $115.00 //  $400.00 // 
36592 //  Missile Command //  $7.98 //  $17.23 //  $27.55 // 
2947 //  Mole Mania //  $23.97 //  $68.03 //  $99.69 // 
2948 //  Monopoly //  $5.99 //  $11.49 //  $41.47 // 
13535 //  Monster Truck Wars //  $6.48 //  $46.10 //  $89.95 // 
13536 //  Mortal Kombat //  $9.07 //  $18.89 //  $71.28 // 
2951 //  Mortal Kombat 3 //  $7.89 //  $30.66 //  $64.22 // 
2954 //  Mortal Kombat II //  $8.25 //  $24.47 //  $139.29 // 
2953 //  Mortal Kombat and Mortal Kombat II //  $18.99 //  $175.35 //  $339.98 // 
13537 //  Motocross Maniacs //  $6.30 //  $15.75 //  $41.38 // 
13538 //  Mouse Trap Hotel //  $7.16 //  $49.95 //  $95.62 // 
13539 //  "Mr. Chins Gourmet Paradise" //  $10.45 //  $37.84 //  $74.36 // 
13540 //  Mr. Do! //  $27.49 //  $159.99 //  $241.68 // 
2957 //  Ms. Pac-Man //  $6.29 //  $13.74 //  $34.99 // 
46355 //  Muhammad Ali Heavyweight Boxing //  $9.27 //  $39.99 //  $92.07 // 
13341 //  Mulan //  $8.32 //  $39.30 //  $77.79 // 
13541 //  Mysterium //  $9.77 //  $29.99 //  $84.65 // 
13430 //  Mystical Ninja Starring Goemon //  $23.99 //  $83.82 //  $261.78 // 
13543 //  NBA All-Star Challenge //  $3.48 //  $5.06 //  $26.85 // 
13544 //  NBA All-Star Challenge 2 //  $4.29 //  $12.10 //  $30.00 // 
36404 //  NBA Jam //  $3.01 //  $10.08 //  $27.95 // 
13548 //  NBA Jam Tournament Edition //  $7.48 //  $20.48 //  $47.10 // 
13549 //  NBA Live 96 //  $4.97 //  $9.99 //  $13.98 // 
13552 //  NFL Football //  $2.64 //  $9.99 //  $34.00 // 
13553 //  NFL Quarterback Club //  $3.09 //  $13.47 //  $24.98 // 
13555 //  NFL Quarterback Club 2 //  $4.22 //  $5.06 //  $34.99 // 
13554 //  NFL Quarterback Club 96 //  $2.79 //  $7.41 //  $15.00 // 
13558 //  NHL 96 //  $4.35 //  $9.99 //  $22.97 // 
13556 //  NHL Hockey 95 //  $7.25 //  $24.99 //  $29.15 // 
19502 //  NIV Bible and Lost Levels of Joshua //  $76.47 //  $282.61 //  $650.00 // 
13559 //  Nail n Scale //  $23.11 //  $94.79 //  $124.50 // 
13560 //  Navy Seals //  $5.00 //  $13.65 //  $19.52 // 
2966 //  Nemesis //  $9.75 //  $38.16 //  $87.84 // 
13475 //  New Chessmaster //  $6.33 //  $23.67 //  $24.57 // 
20101 //  "Nigel Mansells World Championship Racing" //  $3.40 //  $21.60 //  $52.95 // 
13562 //  Ninja Boy //  $16.55 //  $119.99 //  $255.99 // 
13563 //  Ninja Boy 2 //  $19.99 //  $24.31 //  $114.75 // 
2971 //  Ninja Gaiden Shadow //  $32.50 //  $150.24 //  $290.94 // 
13564 //  Ninja Taro //  $54.99 //  $175.41 //  $403.44 // 
3130 //  Nintendo World Cup //  $4.34 //  $14.70 //  $64.72 // 
13566 //  "Nobunagas Ambition" //  $12.97 //  $25.99 //  $30.02 // 
7411 //  Oddworld Adventures //  $6.14 //  $21.05 //  $25.68 // 
13568 //  Olympic Summer Games //  $4.20 //  $13.86 //  $29.99 // 
2795 //  Operation C //  $16.27 //  $113.62 //  $147.39 // 
38642 //  Original Gameboy Black //   //   //   // 
40418 //  Original Gameboy Green //   //   //   // 
46989 //  Original Gameboy Red //  $37.66 //  $140.07 //  $322.16 // 
16869 //  Original Gameboy System //  $30.50 //  $104.98 //  $397.42 // 
40419 //  Original Gameboy Yellow //   //   //   // 
13569 //  Out of Gas //  $17.97 //  $72.11 //  $210.79 // 
13570 //  PGA European Tour //  $4.00 //  $19.99 //  $27.03 // 
13571 //  PGA Tour 96 //  $4.70 //  $9.99 //  $39.95 // 
13574 //  Pac-Attack //  $12.78 //  $53.00 //  $102.62 // 
2972 //  Pac-Man //  $5.64 //  $11.64 //  $42.39 // 
66744 //  "Pac-Man [Players Choice]" //   //   //   // 
13575 //  Pac-in-Time //  $8.65 //  $74.84 //  $172.13 // 
13576 //  Pagemaster //  $7.99 //  $35.67 //  $149.83 // 
13578 //  Panel Action Bingo //  $5.34 //  $19.38 //  $45.90 // 
21142 //  Paperboy //  $6.34 //  $19.99 //  $58.94 // 
13579 //  Paperboy 2 //  $7.99 //  $26.21 //  $71.91 // 
13580 //  Penguin Wars //  $6.74 //  $32.67 //  $78.12 // 
46397 //  Personal Organizer & Phone Book //  $9.99 //  $34.97 //  $57.51 // 
13572 //  Pinball Dreams //  $11.79 //  $31.48 //  $95.00 // 
13581 //  Pinball Fantasies //  $9.49 //  $29.76 //  $170.99 // 
